Time	x	y	z	rx	ry	rz
0.00	0.490356	0.146744	0.233571	179.029297	0.008096	94.900993
0.11	0.490368	0.146746	0.233590	179.025894	0.007743	94.902611
0.20	0.490371	0.146744	0.233593	179.025330	0.007993	94.902939
0.30	0.490090	0.146349	0.233475	179.091629	0.082691	94.857811
0.40	0.489332	0.145517	0.233017	179.266663	0.235585	94.775459
0.50	0.489167	0.145305	0.232946	179.305313	0.274183	94.755569
0.60	0.487817	0.143982	0.233498	179.323792	0.277629	94.766998
0.70	0.483861	0.139834	0.235607	179.318680	0.272960	94.852264
0.80	0.477168	0.132857	0.239049	179.331528	0.269997	94.985252
0.90	0.467491	0.122729	0.244033	179.333008	0.268731	95.205452
1.00	0.456032	0.110750	0.249931	179.337433	0.266414	95.422295
1.10	0.442768	0.096948	0.256770	179.329453	0.265162	95.619705
1.20	0.430658	0.084120	0.263037	179.324432	0.258718	95.732605
1.30	0.420801	0.071802	0.268237	179.314774	0.254574	95.758286
1.40	0.413234	0.057139	0.272251	179.320740	0.254594	95.731651
1.50	0.408460	0.039885	0.274930	179.328979	0.253102	95.818916
1.60	0.405678	0.023238	0.276644	179.339722	0.252060	96.071800
1.70	0.402494	0.003617	0.278657	179.344772	0.254593	96.422707
1.80	0.398637	-0.019478	0.281032	179.349304	0.247734	96.653748
1.90	0.395180	-0.043135	0.282646	179.366150	0.239058	96.734497
2.00	0.393506	-0.066891	0.282135	179.385437	0.235299	96.761192
2.10	0.393298	-0.090667	0.279975	179.394547	0.235998	96.997765
2.20	0.393306	-0.112065	0.277901	179.401489	0.228616	97.474388
2.30	0.393161	-0.133737	0.275916	179.400070	0.233155	97.787254
2.40	0.392550	-0.154918	0.272788	179.438736	0.208200	97.885269
2.50	0.391463	-0.175573	0.267182	179.435928	0.201824	97.946327
2.60	0.390102	-0.195395	0.260276	179.454498	0.196654	98.240875
2.70	0.389055	-0.211682	0.254680	179.459488	0.194834	98.720604
2.80	0.388016	-0.227187	0.249233	179.469116	0.187191	99.043533
