Time	InitPos_1	GoalPos_1	ObstPos_1	Pos_1	Vel_1	InitPos_2	GoalPos_2	ObstPos_2	Pos_2	Vel_2	InitPos_3	GoalPos_3	ObstPos_3	Pos_3	Vel_3	TestEpRet
0.2	0.4173262	0.5680081	0.44167113	0.4173262	-0.1683754	0.12143179	-0.13735276	0.014343068	0.12143179	-0.37691545	0.0925	0.089	0.3	0.0925	0.25665838	-100.90277452609311
0.4	0.4173262	0.5680081	0.44167113	0.38365114	0.174139	0.12143179	-0.13735276	0.014343068	0.0460487	-0.52487767	0.0925	0.089	0.3	0.14383167	0.24505797	-201.6125591797683
0.6000000000000001	0.4173262	0.5680081	0.44167113	0.41847894	0.2538171	0.12143179	-0.13735276	0.014343068	-0.058926836	-0.49928412	0.0925	0.089	0.3	0.19284326	0.13474095	-302.00596874889686
0.8	0.4173262	0.5680081	0.44167113	0.46924236	0.25930652	0.12143179	-0.13735276	0.014343068	-0.15878366	-0.385427	0.0925	0.089	0.3	0.21979144	0.005476013	-302.27991492206183
1.0	0.4173262	0.5680081	0.44167113	0.5211037	0.24620375	0.12143179	-0.13735276	0.014343068	-0.23586905	-0.24186815	0.0925	0.089	0.3	0.22088665	-0.08968971	-302.5736566127618
1.2000000000000002	0.4173262	0.5680081	0.44167113	0.57034445	0.1843742	0.12143179	-0.13735276	0.014343068	-0.2842427	-0.104485095	0.0925	0.089	0.3	0.2029487	-0.11973843	-302.91991073736665
1.4000000000000001	0.4173262	0.5680081	0.44167113	0.6072193	0.060664102	0.12143179	-0.13735276	0.014343068	-0.30513972	0.022512764	0.0925	0.089	0.3	0.17900102	-0.12532365	-303.29859893136506
1.6	0.4173262	0.5680081	0.44167113	0.6193521	-0.014506668	0.12143179	-0.13735276	0.014343068	-0.30063716	0.09890067	0.0925	0.089	0.3	0.15393628	-0.09536852	-303.63405564455695
1.8	0.4173262	0.5680081	0.44167113	0.6164508	-0.052978136	0.12143179	-0.13735276	0.014343068	-0.28085703	0.13814054	0.0925	0.089	0.3	0.13486257	-0.071727626	-303.8845805136109
2.0	0.4173262	0.5680081	0.44167113	0.60585517	-0.065997556	0.12143179	-0.13735276	0.014343068	-0.2532289	0.14870182	0.0925	0.089	0.3	0.120517045	-0.05293847	-304.04312637949585
2.2	0.4173262	0.5680081	0.44167113	0.59265566	-0.063017026	0.12143179	-0.13735276	0.014343068	-0.22348854	0.1392469	0.0925	0.089	0.3	0.10992935	-0.03806944	-304.1277834670711
2.4000000000000004	0.4173262	0.5680081	0.44167113	0.58005226	-0.051414046	0.12143179	-0.13735276	0.014343068	-0.19563916	0.1179593	0.0925	0.089	0.3	0.10231546	-0.026475314	-304.1649981944085
2.6	0.4173262	0.5680081	0.44167113	0.56976944	-0.036515415	0.12143179	-0.13735276	0.014343068	-0.1720473	0.09155587	0.0925	0.089	0.3	0.0970204	-0.017645024	-304.1777345219606
2.8000000000000003	0.4173262	0.5680081	0.44167113	0.5624664	-0.021821834	0.12143179	-0.13735276	0.014343068	-0.15373613	0.06489591	0.0925	0.089	0.3	0.0934914	-0.011127415	-304.18095173240255
3.0	0.4173262	0.5680081	0.44167113	0.558102	-0.009341009	0.12143179	-0.13735276	0.014343068	-0.14075695	0.041077986	0.0925	0.089	0.3	0.09126592	-0.006503409	-304.18211888282144
3.2	0.4173262	0.5680081	0.44167113	0.5562338	4.456844e-05	0.12143179	-0.13735276	0.014343068	-0.13254136	0.021735575	0.0925	0.089	0.3	0.08996523	-0.0033826581	-304.1837578364632
3.4000000000000004	0.4173262	0.5680081	0.44167113	0.55624276	0.006226849	0.12143179	-0.13735276	0.014343068	-0.12819424	0.0073852884	0.0925	0.089	0.3	0.0892887	-0.0014104503	-304.1859878932277
3.6	0.4173262	0.5680081	0.44167113	0.55748814	0.009570629	0.12143179	-0.13735276	0.014343068	-0.12671718	-0.002220857	0.0925	0.089	0.3	0.08900661	-0.0002764305	-304.1882283688299
3.8000000000000003	0.4173262	0.5680081	0.44167113	0.5594023	0.010675895	0.12143179	-0.13735276	0.014343068	-0.12716135	-0.0077851755	0.0925	0.089	0.3	0.08895133	0.00027922768	-304.19000845786996
4.0	0.4173262	0.5680081	0.44167113	0.56153744	0.010206465	0.12143179	-0.13735276	0.014343068	-0.12871839	-0.01021294	0.0925	0.089	0.3	0.08900717	0.00046380435	-304.1911728332314
4.2	0.4173262	0.5680081	0.44167113	0.5635787	0.00877915	0.12143179	-0.13735276	0.014343068	-0.13076098	-0.01043093	0.0925	0.089	0.3	0.08909993	0.00043409172	-304.1911728332314
