Time	x	y	z	rx	ry	rz
0.00	0.417267	0.121415	0.090409	-179.987457	0.013622	89.998817
0.12	0.417270	0.121416	0.090414	-179.988113	0.013434	89.998764
0.20	0.417272	0.121416	0.090417	-179.988495	0.013326	89.998726
0.30	0.417329	0.121439	0.091223	179.996445	0.007579	89.998734
0.40	0.417542	0.121507	0.096332	179.955978	-0.006310	89.997139
0.50	0.417716	0.121539	0.104664	179.922562	-0.013183	90.000443
0.60	0.417905	0.121575	0.117411	179.879166	-0.023189	90.002022
0.70	0.417793	0.121547	0.129946	179.900253	-0.018542	89.996979
0.80	0.417487	0.121480	0.140524	179.895706	-0.020130	89.996758
0.90	0.414868	0.120931	0.149928	179.907303	-0.017445	90.001305
1.00	0.410230	0.119916	0.156060	179.940002	-0.007657	89.998772
1.10	0.400384	0.117760	0.164039	179.957138	-0.001472	89.978691
1.20	0.390585	0.115682	0.171436	179.953674	-0.004229	89.928665
1.30	0.382459	0.113921	0.177695	179.950851	-0.005442	89.888779
1.40	0.373480	0.111988	0.184400	179.979263	0.001970	89.838478
1.50	0.368206	0.110580	0.189852	179.951080	-0.005717	89.834457
1.60	0.366095	0.108602	0.196616	179.935715	-0.010530	89.822350
1.70	0.366516	0.106115	0.205088	179.912277	-0.018238	89.772293
1.80	0.366962	0.103709	0.213204	179.913803	-0.017699	89.708580
1.90	0.367295	0.101765	0.219732	179.928680	-0.012576	89.654091
2.00	0.369367	0.100438	0.225368	179.932556	-0.011471	89.643295
2.10	0.373924	0.100299	0.228532	179.933594	-0.010124	89.637047
2.20	0.380439	0.100702	0.231109	179.926880	-0.009903	89.591850
2.30	0.386627	0.101076	0.233694	179.946167	-0.006394	89.523537
2.40	0.390832	0.101667	0.235253	179.965652	-0.000167	89.494499
2.50	0.393226	0.104205	0.235427	179.994766	0.008306	89.509003
2.60	0.393503	0.107876	0.234313	-179.984894	0.012252	89.506516
2.70	0.393161	0.114824	0.231709	-179.975403	0.016527	89.430161
2.80	0.392802	0.122675	0.228826	-179.968399	0.018486	89.398796
2.90	0.391750	0.128918	0.226737	-179.978271	0.016662	89.406067
3.00	0.388420	0.138141	0.223730	-179.971878	0.020171	89.365959
3.10	0.384605	0.148261	0.220450	-179.955032	0.025314	89.312805
3.20	0.380370	0.159781	0.216645	-179.953110	0.028729	89.299477
3.30	0.376077	0.171075	0.212556	-179.946854	0.035256	89.272202
3.40	0.371505	0.183032	0.208057	-179.944183	0.038641	89.201447
3.50	0.366252	0.196851	0.202794	-179.937027	0.043175	89.143143
3.60	0.362419	0.207982	0.198188	-179.932861	0.048256	89.148064
3.70	0.357360	0.224186	0.190865	-179.933548	0.051071	89.039185
3.80	0.353630	0.236635	0.185268	-179.940567	0.049547	88.964584
3.90	0.350636	0.248940	0.179130	-179.941513	0.052308	88.950081
4.00	0.348196	0.261023	0.172772	-179.943726	0.049963	88.861664
4.10	0.346045	0.272157	0.166890	-179.952026	0.044733	88.784904
4.20	0.344604	0.283011	0.160584	-179.949463	0.048799	88.754570
4.30	0.343830	0.294007	0.153856	-179.956253	0.044314	88.671959
4.40	0.343248	0.302855	0.148420	-179.960663	0.041072	88.575066
4.50	0.343294	0.311717	0.142538	-179.964447	0.038382	88.559761
4.60	0.344108	0.320704	0.136120	-179.971786	0.033087	88.476593
4.70	0.344727	0.327520	0.131331	-179.981323	0.025415	88.386238
4.80	0.345883	0.334292	0.126074	-179.977982	0.028187	88.371574
4.90	0.347797	0.340997	0.120462	-179.982239	0.024947	88.292198
5.00	0.349147	0.345642	0.116525	-179.980286	0.027114	88.205116
5.10	0.350817	0.350160	0.112513	-179.980316	0.027637	88.183784
5.20	0.352671	0.353474	0.109217	-179.984879	0.023464	88.148994
5.30	0.355053	0.357660	0.105003	-179.985886	0.022617	88.038979
5.40	0.356839	0.360469	0.102075	-179.986893	0.020224	87.998833
5.50	0.358625	0.362424	0.099687	-179.985992	0.022585	87.984314
5.60	0.361770	0.365617	0.095741	-179.989761	0.018995	87.870018
5.70	0.364505	0.368033	0.092525	-179.992477	0.014452	87.830528
5.80	0.367190	0.369350	0.090109	-179.994934	0.012573	87.787903
5.90	0.370156	0.370717	0.087457	-179.992645	0.015273	87.659508
6.00	0.372574	0.371323	0.085633	-179.990326	0.017535	87.623772
6.10	0.375299	0.371661	0.083857	-179.991867	0.016029	87.496628
6.20	0.378755	0.371598	0.081970	-179.993988	0.013922	87.456512
6.30	0.380452	0.371292	0.081238	-179.993774	0.014705	87.355255
6.40	0.382268	0.370803	0.080587	-179.995987	0.012746	87.310341
6.50	0.383893	0.370103	0.080199	-179.996796	0.012000	87.198128
6.60	0.385167	0.369130	0.080016	-179.987625	0.022667	87.143730
6.70	0.385955	0.367544	0.080934	-179.996918	0.014416	87.106781
6.80	0.387010	0.364882	0.082390	-179.996750	0.015408	87.000992
6.90	0.387625	0.363101	0.082657	-179.985596	0.024844	86.984581
7.00	0.387708	0.362876	0.080184	-179.984375	0.027893	86.993393
7.10	0.387575	0.362794	0.075074	-179.960129	0.051929	86.990936
7.20	0.387408	0.362692	0.065914	-179.933319	0.080255	86.993004
7.30	0.387249	0.362625	0.052758	-179.911362	0.100446	86.998260
7.40	0.387241	0.362681	0.039151	-179.917923	0.094483	87.002724
7.50	0.387341	0.362769	0.029634	-179.935608	0.076124	87.002151
7.60	0.387503	0.362845	0.024312	-179.958282	0.053689	86.997383
7.70	0.387584	0.362938	0.022937	-179.974091	0.035561	86.996994
