Time	x	y	z	rx	ry	rz
0.00	0.417271	0.121408	0.137424	-179.988876	0.014460	90.000114
0.10	0.417311	0.121422	0.137752	-179.995605	0.011998	90.000275
0.20	0.417522	0.121491	0.141761	179.962463	-0.001664	89.999672
0.30	0.417701	0.121544	0.149407	179.925262	-0.012571	90.000595
0.40	0.417903	0.121612	0.161390	179.881836	-0.026361	89.998711
0.50	0.418115	0.121693	0.178096	179.834610	-0.042257	89.996696
0.60	0.418201	0.121714	0.196464	179.811203	-0.046097	90.001114
0.70	0.417918	0.121629	0.212868	179.857056	-0.030063	90.006775
0.80	0.417969	0.121607	0.225170	179.859573	-0.029363	90.001678
0.90	0.417691	0.121535	0.233261	179.917984	-0.013268	90.001785
1.00	0.417498	0.121483	0.237319	179.961655	-0.000842	90.001518
1.10	0.417378	0.121443	0.237847	179.986984	0.007236	90.001762
