Time	x	y	z	rx	ry	rz
0.00	0.417247	0.121407	0.032403	-179.986145	0.014113	89.999512
0.11	0.417253	0.121409	0.032410	-179.987091	0.013840	89.999481
0.20	0.417256	0.121409	0.032414	-179.987701	0.013664	89.999458
0.30	0.417337	0.121438	0.033295	179.993759	0.006869	89.998917
0.40	0.417509	0.121473	0.038503	179.960510	-0.001743	90.000244
0.50	0.417694	0.121511	0.046994	179.923431	-0.011806	90.001823
0.60	0.417934	0.121566	0.059777	179.874557	-0.025267	89.993233
0.70	0.417763	0.121541	0.071918	179.904816	-0.019647	89.994171
0.80	0.417612	0.121381	0.081985	179.904953	-0.018545	90.002991
0.90	0.416598	0.119091	0.090844	179.916168	-0.015535	89.982010
1.00	0.414050	0.113579	0.097877	179.943939	-0.006137	89.951958
1.10	0.410563	0.105945	0.103370	179.960724	0.001743	89.924438
1.20	0.406527	0.096936	0.109302	179.961441	0.002514	89.858315
1.30	0.401218	0.084907	0.117424	179.946976	0.000232	89.769081
1.40	0.395205	0.071515	0.126494	179.949890	0.003083	89.714333
1.50	0.390070	0.059225	0.134832	179.938156	0.000826	89.697075
1.60	0.387395	0.046365	0.142673	179.930710	0.000775	89.661545
1.70	0.388397	0.033017	0.149728	179.937988	0.003255	89.646858
1.80	0.392558	0.019266	0.156323	179.917526	0.004307	89.617050
1.90	0.397669	0.004713	0.163079	179.894562	0.008029	89.543282
2.00	0.403726	-0.012913	0.171302	179.863403	0.010986	89.460045
2.10	0.410657	-0.033549	0.180992	179.832474	0.022832	89.400604
2.20	0.418183	-0.054450	0.190027	179.836716	0.032172	89.407967
2.30	0.427246	-0.075331	0.197209	179.850967	0.035461	89.402237
2.40	0.438228	-0.097171	0.203183	179.851181	0.042619	89.357468
2.50	0.448831	-0.117790	0.208646	179.829895	0.053605	89.300613
2.60	0.458882	-0.137835	0.214073	179.852051	0.053375	89.260063
2.70	0.469794	-0.158036	0.218497	179.858475	0.055358	89.258163
2.80	0.480891	-0.175918	0.220116	179.869095	0.053944	89.266891
2.90	0.493410	-0.194408	0.220292	179.863861	0.059052	89.215584
3.00	0.505550	-0.212361	0.220446	179.863098	0.061949	89.149879
3.10	0.515747	-0.227314	0.220517	179.864319	0.063407	89.111938
3.20	0.527440	-0.241895	0.218533	179.874435	0.066246	89.131615
3.30	0.540499	-0.254946	0.214021	179.874054	0.067913	89.120621
3.40	0.552616	-0.266782	0.209414	179.882782	0.062755	89.043442
3.50	0.562426	-0.276324	0.205684	179.904907	0.054658	88.986671
3.60	0.572139	-0.284845	0.201523	179.893478	0.060961	88.978783
3.70	0.582410	-0.291284	0.195501	179.876495	0.066398	88.984177
3.80	0.592255	-0.296675	0.188849	179.891083	0.058139	88.930428
3.90	0.599581	-0.300812	0.184041	179.898239	0.051443	88.839081
4.00	0.606378	-0.304366	0.178934	179.930191	0.038620	88.803185
4.10	0.609344	-0.304741	0.174692	179.977966	0.017923	88.800285
4.20	0.612631	-0.303283	0.167747	-179.980789	-0.004941	88.757591
4.30	0.616265	-0.301806	0.159973	-179.976288	-0.004982	88.651093
4.40	0.618395	-0.299689	0.153887	-179.940506	-0.020792	88.631676
4.50	0.618163	-0.295023	0.148110	-179.871674	-0.045733	88.616013
4.60	0.617012	-0.288773	0.142406	-179.844513	-0.057636	88.505920
4.70	0.615903	-0.282302	0.136453	-179.851685	-0.053438	88.439545
