Time	x	y	z	rx	ry	rz
0.00	0.322425	-0.134881	0.032381	-179.986542	-0.006002	116.999657
0.10	0.322470	-0.134899	0.032429	-179.991806	0.000368	116.998459
0.20	0.322482	-0.134904	0.032448	-179.993652	0.002707	116.999275
0.30	0.322558	-0.134934	0.034258	179.992584	0.019355	117.006653
0.40	0.322833	-0.135026	0.040313	179.954636	0.060332	116.996300
0.50	0.323002	-0.135114	0.050362	179.933868	0.094223	117.018837
0.60	0.323239	-0.135181	0.064079	179.897705	0.133830	117.010040
0.70	0.323155	-0.135120	0.076762	179.906433	0.116816	116.995018
0.80	0.320565	-0.137638	0.097592	179.913559	0.113115	116.944962
0.90	0.316521	-0.141533	0.107570	179.922974	0.103300	116.751747
1.00	0.312449	-0.145571	0.116563	179.922882	0.110124	116.366844
1.10	0.308300	-0.149656	0.125808	179.918793	0.114702	115.839836
1.20	0.304984	-0.152670	0.132938	179.942886	0.083099	115.528984
1.30	0.302435	-0.155745	0.139796	179.945709	0.080567	115.433945
1.40	0.300845	-0.158838	0.146945	179.935593	0.091937	115.385139
1.50	0.299729	-0.162000	0.154215	179.940689	0.092374	115.120674
1.60	0.298757	-0.164752	0.160566	179.944870	0.085229	114.635269
1.70	0.297801	-0.167526	0.167018	179.942902	0.085815	114.167046
1.80	0.296811	-0.169914	0.172660	179.961731	0.063198	113.977943
1.90	0.296646	-0.171043	0.177728	179.959335	0.069573	113.970413
2.00	0.296968	-0.170890	0.182528	179.968277	0.055540	113.832237
2.10	0.297025	-0.170684	0.184055	179.989197	0.025344	113.440910
2.20	0.297231	-0.170623	0.185473	179.981186	0.034085	112.900131
2.30	0.297408	-0.170404	0.187036	179.983673	0.031958	112.588005
2.40	0.297561	-0.169755	0.188132	179.994141	0.017453	112.483200
2.50	0.297949	-0.168562	0.188626	179.992981	0.018902	112.460106
2.60	0.298214	-0.166994	0.188466	-179.996552	0.007196	112.207924
2.70	0.298605	-0.164946	0.187961	-179.987778	-0.001279	111.732544
2.80	0.300673	-0.154876	0.185642	-179.970978	-0.021151	111.087944
2.90	0.301797	-0.148180	0.183485	-179.965195	-0.025675	111.065323
3.00	0.302500	-0.141796	0.180218	-179.964417	-0.024320	110.933998
3.10	0.303151	-0.135266	0.176794	-179.959198	-0.033156	110.573677
3.20	0.303851	-0.128844	0.173388	-179.957657	-0.030278	110.038887
3.30	0.304559	-0.120975	0.169291	-179.938721	-0.045453	109.707603
3.40	0.305584	-0.112348	0.164818	-179.940506	-0.040083	109.604500
3.50	0.306757	-0.103764	0.160415	-179.937454	-0.038995	109.567863
3.60	0.308038	-0.095262	0.156117	-179.935577	-0.039562	109.327805
3.70	0.309253	-0.087331	0.152119	-179.933319	-0.037745	108.852806
3.80	0.310456	-0.079077	0.147958	-179.921799	-0.039263	108.384560
3.90	0.312004	-0.069336	0.143087	-179.924408	-0.035702	108.156570
4.00	0.313884	-0.059058	0.138312	-179.926483	-0.030846	108.122696
4.10	0.315943	-0.049665	0.134345	-179.938385	-0.021698	108.010262
4.20	0.318017	-0.040516	0.130556	-179.942139	-0.016956	107.626289
4.30	0.319820	-0.032434	0.127286	-179.944427	-0.013799	107.101105
4.40	0.321636	-0.024215	0.123899	-179.940460	-0.012134	106.746246
4.50	0.323685	-0.014908	0.120189	-179.924240	-0.016174	106.618469
4.60	0.326324	-0.005627	0.116818	-179.941544	-0.009835	106.589569
4.70	0.329167	0.003607	0.113669	-179.949387	-0.004954	106.362602
4.80	0.331502	0.010991	0.111173	-179.962097	0.000485	105.866600
4.90	0.333559	0.017663	0.108930	-179.964798	0.001659	105.387924
5.00	0.336138	0.025968	0.106167	-179.970978	0.002796	105.143211
5.10	0.339051	0.034356	0.103542	-179.973282	0.004359	105.079567
5.20	0.342357	0.042869	0.101337	-179.984238	0.007150	104.993279
5.30	0.345394	0.050339	0.099494	-179.988129	0.006677	104.628494
5.40	0.347503	0.055444	0.098229	-179.994278	0.008513	104.093674
5.50	0.349772	0.061022	0.096839	-179.994019	0.009434	103.712631
5.60	0.352729	0.068074	0.095171	-179.993942	0.009696	103.564278
5.70	0.355898	0.074511	0.094010	179.987045	0.009079	103.544960
5.80	0.359333	0.080927	0.093076	179.987946	0.009493	103.324814
5.90	0.361670	0.085264	0.092487	179.990921	0.008292	102.830032
6.00	0.363568	0.088788	0.091993	179.989746	0.007610	102.350266
6.10	0.366098	0.093471	0.091328	179.986557	0.007602	102.086449
6.20	0.369219	0.098707	0.090725	179.984940	0.008616	102.033890
6.30	0.372435	0.103355	0.090480	179.976181	0.007604	101.941757
6.40	0.375063	0.107054	0.090317	179.993698	0.008551	101.610825
6.50	0.376859	0.109516	0.090235	179.986176	0.006575	101.079590
6.60	0.379524	0.113179	0.090070	179.983429	0.007191	100.601173
6.70	0.381287	0.115482	0.089998	179.978714	0.007464	100.519943
6.80	0.384075	0.118685	0.090030	179.981461	0.008611	100.502785
6.90	0.386972	0.121564	0.090246	179.984512	0.007337	100.296593
7.00	0.388517	0.123087	0.090359	179.991196	0.009324	99.857094
7.10	0.390081	0.124610	0.090489	179.986099	0.008265	99.354546
7.20	0.391909	0.126428	0.090611	179.980057	0.005570	99.056549
7.30	0.394188	0.128442	0.090807	179.986069	0.006062	98.991234
7.40	0.396745	0.130141	0.091162	179.980560	0.006559	98.925552
7.50	0.398425	0.131199	0.091439	179.989822	0.007184	98.590424
7.60	0.399565	0.131929	0.091590	179.995956	0.007482	98.104141
7.70	0.400828	0.132691	0.091812	179.990234	0.006669	97.676064
7.80	0.402572	0.133712	0.092059	179.985931	0.006784	97.494499
7.90	0.404818	0.134600	0.092482	179.987213	0.006296	97.466934
8.00	0.406047	0.134944	0.092728	179.989929	0.006246	97.308655
8.10	0.406945	0.135136	0.092901	179.996460	0.007485	96.886879
8.20	0.407896	0.135313	0.093108	179.995331	0.007360	96.362373
8.30	0.408928	0.135533	0.093300	179.998459	0.008650	96.051781
8.40	0.410253	0.135762	0.093587	179.994171	0.007411	95.981407
8.50	0.411589	0.135642	0.093875	179.990082	0.006004	95.931709
8.60	0.412392	0.135414	0.094062	-179.998230	0.008877	95.627716
8.70	0.413016	0.135298	0.094202	-179.997589	0.008497	95.127861
8.80	0.413675	0.135182	0.094348	179.998978	0.007749	94.688004
8.90	0.414573	0.134957	0.094559	179.999084	0.007542	94.492180
9.00	0.415445	0.134560	0.094754	179.996384	0.007224	94.470261
9.10	0.416169	0.133994	0.094896	-179.996841	0.009087	94.303879
9.20	0.416514	0.133707	0.094953	-179.993164	0.009297	93.916008
9.30	0.416930	0.133343	0.095033	-179.990417	0.010524	93.381554
9.40	0.417476	0.132966	0.095171	-179.997467	0.008892	93.055679
9.50	0.418006	0.132459	0.095282	-179.996216	0.008821	92.971481
9.60	0.418436	0.131833	0.095363	-179.994019	0.009662	92.932648
9.70	0.418736	0.131229	0.095383	-179.991180	0.010460	92.643074
9.80	0.418955	0.130885	0.095418	-179.993240	0.009492	92.157295
9.90	0.419165	0.130450	0.095452	-179.991699	0.011042	91.700974
10.00	0.419475	0.129881	0.095500	-179.996994	0.009447	91.498917
10.10	0.419573	0.129253	0.095442	-179.990158	0.011720	91.474632
10.20	0.419443	0.128689	0.095198	-179.990509	0.011644	91.341080
10.30	0.418988	0.127428	0.094653	-179.968124	0.018613	90.941795
10.40	0.418502	0.125863	0.094064	-179.968872	0.018453	90.417969
10.50	0.418049	0.124230	0.093484	-179.976089	0.017419	90.071022
10.60	0.417365	0.121909	0.092314	-179.979477	0.017223	89.974823
10.70	0.417106	0.121263	0.089794	-179.964233	0.020428	89.988411
10.80	0.417058	0.121259	0.085889	-179.947983	0.025244	89.989883
10.90	0.416873	0.121216	0.078133	-179.912262	0.036214	89.989059
11.00	0.416672	0.121177	0.065800	-179.868561	0.049500	89.990021
11.10	0.416649	0.121196	0.052236	-179.871445	0.048414	90.000168
11.20	0.416787	0.121266	0.041275	-179.897125	0.038705	89.993706
11.30	0.416922	0.121313	0.034433	-179.925980	0.031241	89.997231
11.40	0.417053	0.121350	0.032003	-179.950806	0.024911	90.000534
