Time	x	y	z	rx	ry	rz
0.00	0.387674	0.363020	0.023395	-179.990692	0.018655	86.997543
0.12	0.387675	0.363021	0.023396	-179.990784	0.018553	86.997498
0.20	0.387675	0.363021	0.023396	-179.990814	0.018516	86.997498
0.30	0.387717	0.363058	0.024682	-179.998825	0.009153	86.997078
0.40	0.387885	0.363176	0.032048	179.973419	-0.018924	86.996529
0.50	0.387984	0.363247	0.039526	179.956619	-0.038950	86.991760
0.60	0.388061	0.363381	0.052714	179.934052	-0.060975	86.998093
0.70	0.387985	0.363296	0.062453	179.947556	-0.046252	86.996841
0.80	0.387644	0.362902	0.075175	179.947159	-0.047752	86.998543
0.90	0.385765	0.360134	0.084363	179.962585	-0.030040	87.000206
1.00	0.382975	0.355829	0.090233	179.979767	-0.007332	87.001717
1.10	0.377282	0.347119	0.098062	-179.995819	0.014912	87.012840
1.20	0.371823	0.338794	0.105433	-179.994171	0.016097	87.045990
1.30	0.365426	0.328952	0.114235	-179.994156	0.017339	87.075233
1.40	0.357594	0.316944	0.125118	179.993439	0.004034	87.116043
1.50	0.350618	0.305542	0.135353	179.986282	-0.001615	87.113945
1.60	0.345858	0.292922	0.146182	179.968292	-0.018565	87.093933
1.70	0.344876	0.278503	0.157563	179.955948	-0.026777	87.067154
1.80	0.346341	0.265150	0.167616	179.950409	-0.028589	87.079765
1.90	0.348412	0.249750	0.179226	179.928818	-0.042233	87.110214
2.00	0.350636	0.232328	0.192274	179.912567	-0.050542	87.117302
2.10	0.353106	0.213207	0.206626	179.894409	-0.057000	87.139053
2.20	0.357648	0.192291	0.220878	179.892212	-0.050463	87.116554
2.30	0.362402	0.178350	0.229233	179.893509	-0.044868	87.104820
2.40	0.372170	0.154461	0.242572	179.882126	-0.041934	87.145836
2.50	0.379498	0.136725	0.252438	179.873947	-0.040759	87.221306
2.60	0.384697	0.123802	0.259599	179.886719	-0.028147	87.266228
2.70	0.393202	0.104340	0.269486	179.891022	-0.020107	87.266251
