Time	x	y	z	rx	ry	rz
0.00	0.490345	0.146731	0.233547	179.033142	0.010266	94.900467
0.11	0.490367	0.146738	0.233582	179.027023	0.008763	94.902397
0.20	0.490371	0.146742	0.233589	179.025696	0.008388	94.903366
0.30	0.490193	0.146476	0.233536	179.067566	0.059150	94.871384
0.40	0.489385	0.145601	0.233035	179.254349	0.219360	94.781296
0.50	0.489200	0.145341	0.232967	179.298538	0.267663	94.756950
0.60	0.488282	0.144640	0.233043	179.322174	0.272721	94.756821
0.70	0.485461	0.142173	0.233787	179.328491	0.269387	94.769524
0.80	0.480721	0.137976	0.235021	179.335724	0.264846	94.786118
0.90	0.473967	0.132137	0.236689	179.359863	0.264626	94.817169
1.00	0.465351	0.124585	0.238850	179.374893	0.261244	94.833374
1.10	0.455072	0.115556	0.241493	179.370972	0.260723	94.832291
1.20	0.445716	0.105412	0.243833	179.364868	0.259465	94.821335
1.30	0.439279	0.093209	0.245345	179.372910	0.258106	94.804893
1.40	0.434465	0.079779	0.246473	179.381592	0.247823	94.839432
1.50	0.429361	0.065448	0.247733	179.385803	0.240842	94.886353
1.60	0.424456	0.050690	0.247970	179.411987	0.237462	94.896324
1.70	0.421451	0.035089	0.245169	179.428101	0.236990	94.918381
1.80	0.419306	0.020169	0.241312	179.458237	0.231252	94.951996
1.90	0.417126	0.004714	0.237277	179.466354	0.219731	95.004486
2.00	0.415364	-0.010165	0.230750	179.494385	0.210120	94.999977
2.10	0.414411	-0.023014	0.222598	179.522095	0.200308	95.079361
2.20	0.413526	-0.035695	0.214501	179.542801	0.194694	95.154839
2.30	0.412446	-0.046945	0.205151	179.573624	0.183915	95.185768
2.40	0.411433	-0.056928	0.193398	179.591354	0.174448	95.257103
2.50	0.410713	-0.064446	0.184311	179.597412	0.164589	95.339584
2.60	0.409375	-0.070438	0.173936	179.622681	0.153064	95.374908
2.70	0.407657	-0.074643	0.162300	179.655624	0.144443	95.459541
2.80	0.406413	-0.077714	0.153438	179.644470	0.145727	95.529716
2.90	0.403407	-0.078564	0.144140	179.669708	0.138391	95.562111
3.00	0.399392	-0.077985	0.134138	179.695923	0.126152	95.669594
3.10	0.395553	-0.076986	0.125611	179.700668	0.123056	95.702415
3.20	0.390408	-0.073284	0.117919	179.706131	0.122621	95.754471
3.30	0.385371	-0.069368	0.110910	179.722855	0.117325	95.846748
3.40	0.380289	-0.064877	0.104760	179.730774	0.116825	95.883766
3.50	0.375265	-0.059232	0.099762	179.721970	0.119902	95.935562
3.60	0.371482	-0.054958	0.096068	179.718933	0.120350	96.003487
3.70	0.368085	-0.050735	0.092980	179.699905	0.123487	96.032135
3.80	0.364493	-0.045978	0.090357	179.720123	0.118639	96.051598
3.90	0.361346	-0.041438	0.088167	179.723801	0.116242	96.113075
4.00	0.358550	-0.037497	0.086252	179.731979	0.115730	96.157822
4.10	0.355951	-0.033404	0.084702	179.720795	0.117436	96.159958
4.20	0.353465	-0.029028	0.083523	179.731522	0.114582	96.215950
4.30	0.350025	-0.023139	0.082041	179.768890	0.104389	96.322891
4.40	0.346897	-0.016834	0.080872	179.754471	0.107653	96.335571
4.50	0.344105	-0.010202	0.080424	179.770660	0.100657	96.426941
4.60	0.341816	-0.003882	0.080329	179.765076	0.098490	96.471214
4.70	0.340558	0.000942	0.080835	179.778366	0.091375	96.532608
4.80	0.339642	0.005403	0.081508	179.775589	0.088280	96.597435
4.90	0.339197	0.009798	0.082761	179.818619	0.076510	96.692673
5.00	0.339312	0.011996	0.083592	179.809723	0.075439	96.701561
5.10	0.339763	0.014256	0.084844	179.840103	0.066821	96.776070
5.20	0.340384	0.016036	0.085983	179.843735	0.061985	96.822968
5.30	0.341322	0.017153	0.087160	179.862808	0.054279	96.899620
5.40	0.342274	0.018036	0.088291	179.872650	0.049503	96.951416
5.50	0.343324	0.018325	0.089276	179.898880	0.041661	97.012100
5.60	0.344389	0.018518	0.090182	179.918137	0.034977	97.067596
5.70	0.345475	0.018414	0.090983	179.935028	0.028351	97.155167
5.80	0.346488	0.017995	0.091632	179.950012	0.022269	97.202988
5.90	0.347597	0.016729	0.091856	179.955032	0.020302	97.214081
6.00	0.349650	0.014375	0.092171	179.971695	0.013226	97.283897
6.10	0.351242	0.012325	0.092028	-179.994278	0.007829	97.311668
6.20	0.351498	0.011897	0.089411	-179.964691	0.008367	97.332329
6.30	0.351277	0.011904	0.084858	-179.932465	0.005274	97.323997
6.40	0.350961	0.011941	0.076149	-179.878876	0.001500	97.327621
6.50	0.350633	0.011972	0.062677	-179.822754	-0.007594	97.327133
6.60	0.350716	0.011985	0.049406	-179.842346	-0.006412	97.321205
6.70	0.350881	0.011970	0.039550	-179.877182	0.002522	97.341171
6.80	0.351054	0.012009	0.033731	-179.911850	-0.000134	97.319855
6.90	0.351322	0.012011	0.032003	-179.960999	0.006291	97.331238
