Time	x	y	z	rx	ry	rz
0.00	0.481991	0.200926	0.090389	-179.988159	0.015607	89.999573
0.10	0.481995	0.200927	0.090392	-179.988541	0.015448	89.999519
0.20	0.482013	0.200936	0.090712	-179.990234	0.014377	89.999542
0.30	0.482159	0.201002	0.094205	179.978516	-0.000617	90.000648
0.40	0.482327	0.201056	0.101893	179.945251	-0.013262	89.997704
0.50	0.482497	0.201117	0.114607	179.909744	-0.028234	89.996780
0.60	0.482508	0.201121	0.127214	179.907928	-0.027504	89.997757
0.70	0.482404	0.201104	0.137351	179.924637	-0.021613	90.001167
0.80	0.481579	0.200918	0.146370	179.930664	-0.018397	89.997978
0.90	0.477959	0.200396	0.153155	179.954651	-0.009002	90.017838
1.00	0.471164	0.199336	0.158826	179.972687	0.001115	90.183197
1.10	0.461662	0.197869	0.165202	179.990250	0.008510	91.212181
1.20	0.459125	0.197439	0.166950	179.998642	0.011725	91.945045
1.30	0.454799	0.196810	0.170054	179.997757	0.011593	92.493172
1.40	0.450238	0.196196	0.173277	-179.999634	0.012548	92.792152
1.50	0.445739	0.195790	0.176353	-179.996765	0.013540	92.866058
1.60	0.441161	0.195581	0.179449	-179.997086	0.013233	92.930817
1.70	0.436572	0.195521	0.182470	-179.999100	0.012563	93.208427
1.80	0.431754	0.195555	0.185538	-179.992462	0.015568	93.752945
1.90	0.426128	0.195595	0.189265	-179.998550	0.012592	94.483551
2.00	0.420275	0.195623	0.193069	-179.996918	0.013161	95.155373
2.10	0.413908	0.195661	0.197248	179.996796	0.010274	95.552849
2.20	0.405636	0.195909	0.202588	179.993546	0.007393	95.720764
2.30	0.397009	0.197137	0.207721	179.988419	0.007228	95.748634
2.40	0.389020	0.199032	0.212071	179.995621	0.006638	95.923950
2.50	0.379638	0.201395	0.217162	-179.999298	0.010671	96.986275
2.60	0.376823	0.202114	0.218685	-179.999283	0.010365	97.707970
2.70	0.373602	0.202910	0.220448	179.999496	0.009180	98.220146
2.80	0.369709	0.204029	0.222508	179.997574	0.010827	98.513885
2.90	0.365990	0.205658	0.224237	179.995758	0.006963	98.563339
3.00	0.358864	0.210458	0.226705	-179.997116	0.009379	98.959679
3.10	0.356280	0.212449	0.227488	-179.998550	0.011298	99.500679
3.20	0.353822	0.214351	0.228256	-179.999634	0.009625	100.259285
3.30	0.351401	0.216202	0.229004	-179.999176	0.008882	100.863503
3.40	0.348270	0.218602	0.229951	-179.998138	0.009472	101.272110
3.50	0.345623	0.221200	0.230503	-179.997711	0.010286	101.404236
3.60	0.343457	0.224311	0.230429	-179.983994	0.015088	101.417015
3.70	0.341950	0.228176	0.229580	-179.983337	0.015049	101.650948
3.80	0.341125	0.230994	0.228885	-179.987976	0.013377	102.051270
3.90	0.340399	0.233155	0.228329	-179.984497	0.015967	102.733994
4.00	0.339667	0.235525	0.227759	-179.985580	0.015250	103.484230
4.10	0.338751	0.238255	0.227073	-179.984818	0.014183	103.951302
4.20	0.337945	0.241313	0.226194	-179.983170	0.015236	104.191917
4.30	0.337578	0.244273	0.225033	-179.977570	0.017037	104.220474
4.40	0.337728	0.247152	0.223576	-179.975433	0.018009	104.320747
4.50	0.338249	0.249965	0.221905	-179.971710	0.019878	104.662178
4.60	0.338925	0.252914	0.220134	-179.979462	0.017164	105.248459
4.70	0.339556	0.255864	0.218389	-179.983521	0.016011	105.991776
4.80	0.340169	0.258779	0.216595	-179.979187	0.017529	106.576286
4.90	0.341023	0.262904	0.214076	-179.971573	0.018987	106.947784
5.00	0.342202	0.267114	0.211353	-179.971466	0.018169	107.065208
5.10	0.343834	0.271000	0.208457	-179.970963	0.020357	107.087547
5.20	0.345864	0.274663	0.205416	-179.969452	0.020363	107.309090
5.30	0.347680	0.277734	0.202871	-179.980042	0.016666	107.815819
5.40	0.349108	0.280244	0.200760	-179.980087	0.017280	108.482147
5.50	0.350659	0.282886	0.198491	-179.976349	0.018817	109.170425
5.60	0.352724	0.286544	0.195407	-179.972366	0.019200	109.654854
5.70	0.354818	0.290013	0.192403	-179.969894	0.019056	109.862961
5.80	0.357218	0.293532	0.189184	-179.970245	0.018078	109.878883
5.90	0.359822	0.296860	0.185962	-179.972290	0.017140	109.995361
6.00	0.362497	0.300047	0.182734	-179.972061	0.017910	110.366852
6.10	0.364683	0.302563	0.180189	-179.979538	0.015723	110.974045
6.20	0.366795	0.305074	0.177619	-179.977417	0.016725	111.723701
6.30	0.369031	0.307706	0.174940	-179.977768	0.016198	112.290207
6.40	0.371970	0.311137	0.171434	-179.979660	0.014206	112.618980
6.50	0.374981	0.314435	0.167910	-179.975677	0.014405	112.716080
6.60	0.378069	0.317614	0.164373	-179.972031	0.016069	112.743683
6.70	0.381392	0.320740	0.160890	-179.987259	0.011262	113.005142
6.80	0.384007	0.323162	0.157963	-179.977707	0.014050	113.506569
6.90	0.386338	0.325282	0.155506	-179.983490	0.012541	114.263306
7.00	0.388399	0.327206	0.153288	-179.986298	0.011510	114.889923
7.10	0.391118	0.329673	0.150346	-179.984314	0.010987	115.328506
7.20	0.394333	0.332611	0.146898	-179.985138	0.010624	115.535728
7.30	0.397248	0.335103	0.143838	-179.986252	0.011142	115.550346
7.40	0.400401	0.337667	0.140556	-179.985962	0.009946	115.696854
7.50	0.403605	0.340086	0.137369	-179.992615	0.008454	116.122337
7.60	0.405569	0.341523	0.135417	-179.991058	0.009377	116.714020
7.70	0.407674	0.343097	0.133266	-179.986069	0.010136	117.455475
7.80	0.409794	0.344752	0.131147	-179.988693	0.009079	118.003204
7.90	0.412677	0.346895	0.128262	-179.992020	0.010461	118.301971
8.00	0.415571	0.349006	0.125380	-179.992447	0.008513	118.378525
8.10	0.418474	0.350989	0.122498	-179.985931	0.009027	118.434105
8.20	0.421498	0.352957	0.119691	-179.996506	0.008009	118.726357
8.30	0.423476	0.354176	0.117773	-179.988297	0.009044	119.241516
8.40	0.425250	0.355367	0.116114	-179.996414	0.007581	119.973854
8.50	0.427060	0.356464	0.114389	-179.993622	0.007827	120.617569
8.60	0.429130	0.357858	0.112378	-179.994232	0.006834	121.034279
8.70	0.431674	0.359377	0.109990	-179.992493	0.010083	121.209785
8.80	0.434293	0.360935	0.107559	-179.994308	0.006790	121.222816
8.90	0.436694	0.362287	0.105345	-179.992844	0.006607	121.395607
9.00	0.438687	0.363286	0.103561	-179.991028	0.008568	121.810081
9.10	0.440147	0.364113	0.102243	-179.996750	0.007364	122.501183
9.20	0.441449	0.364792	0.101010	-179.986816	0.008100	123.205132
9.30	0.442889	0.365590	0.099782	-179.999603	0.006835	123.717834
9.40	0.444801	0.366573	0.098012	-179.992661	0.006815	123.992844
9.50	0.446852	0.367626	0.096196	-179.995377	0.008790	124.049942
9.60	0.448903	0.368600	0.094362	-179.993134	0.007263	124.128723
9.70	0.450726	0.369375	0.092785	-179.990295	0.007364	124.441406
9.80	0.451796	0.369797	0.091926	-179.993988	0.007555	124.982376
9.90	0.452795	0.370286	0.091052	-179.992508	0.007648	125.722275
10.00	0.453860	0.370705	0.090158	-179.990738	0.007350	126.342827
10.10	0.455004	0.371248	0.089145	-179.993332	0.007004	126.740067
10.20	0.456521	0.371723	0.087967	-179.997116	0.007086	126.888054
10.30	0.458086	0.371666	0.086940	-179.990555	0.007670	126.889061
10.40	0.459828	0.371244	0.085996	-179.989258	0.007866	127.112518
10.50	0.460589	0.371026	0.085652	-179.989426	0.008181	127.544243
10.60	0.461361	0.370808	0.085270	-179.993195	0.008591	128.211243
10.70	0.462161	0.370585	0.084851	-179.992493	0.008598	128.967163
10.80	0.463094	0.370346	0.084345	-179.991776	0.008322	129.433060
10.90	0.464019	0.370063	0.083686	-179.987885	0.008187	129.686447
11.00	0.464645	0.369854	0.082790	-179.980072	0.008007	129.720718
11.10	0.464913	0.369772	0.081792	-179.979370	0.008312	129.714417
11.20	0.465056	0.369832	0.080636	-179.993164	0.008951	129.713501
11.30	0.464982	0.369776	0.078888	-179.978607	0.009108	129.712677
11.40	0.464804	0.369663	0.073567	-179.941238	0.006787	129.714157
11.50	0.464677	0.369572	0.064151	-179.911133	0.005832	129.713257
11.60	0.464615	0.369437	0.050827	-179.886673	0.008455	129.710556
11.70	0.464647	0.369509	0.037616	-179.905640	0.007315	129.712311
11.80	0.464678	0.369536	0.028616	-179.914642	0.009066	129.715363
11.90	0.464796	0.369655	0.023853	-179.944580	0.007855	129.714386
12.00	0.464913	0.369740	0.022960	-179.971130	0.008966	129.714569
