Time	x	y	z	rx	ry	rz
0.00	0.481987	0.200933	0.137373	-179.985565	0.017772	90.001633
0.10	0.481978	0.200931	0.137454	-179.982788	0.018669	90.001572
0.20	0.482166	0.201020	0.140510	179.977280	-0.000662	90.002098
0.30	0.482320	0.201073	0.147593	179.945953	-0.012268	90.002342
0.40	0.482460	0.201135	0.156202	179.917648	-0.025288	89.999992
0.50	0.482666	0.201218	0.174000	179.873444	-0.043523	90.001999
0.60	0.482786	0.201291	0.192783	179.847855	-0.057904	89.999298
0.70	0.482733	0.201269	0.210031	179.856842	-0.052239	90.002304
0.80	0.482545	0.201203	0.223078	179.895584	-0.036369	90.002655
0.90	0.482396	0.201143	0.231973	179.926331	-0.022317	90.005005
1.00	0.482230	0.201072	0.236753	179.967026	-0.004014	90.006424
1.10	0.482075	0.201013	0.237768	179.995865	0.006848	90.005638
