Time	x	y	z	rx	ry	rz
0.00	0.481976	0.200941	0.032391	-179.987686	0.015343	90.002251
0.11	0.481978	0.200941	0.032394	-179.988159	0.015195	90.002243
0.20	0.481979	0.200941	0.032395	-179.988281	0.015135	90.002243
0.30	0.482006	0.200954	0.033034	-179.995041	0.011674	90.002251
0.40	0.482148	0.201014	0.038187	179.979034	-0.001692	90.000244
0.50	0.482343	0.201077	0.047289	179.939346	-0.018634	89.995209
0.60	0.482538	0.201135	0.060075	179.900528	-0.033340	89.996918
0.70	0.482379	0.201050	0.072107	179.930649	-0.019289	89.995247
0.80	0.482148	0.200887	0.082196	179.929550	-0.020128	90.000534
0.90	0.480725	0.198778	0.090921	179.941757	-0.015212	89.988251
1.00	0.477216	0.193762	0.097766	179.975876	0.002192	89.970062
1.10	0.472375	0.186722	0.103179	-179.999512	0.011257	89.926170
1.20	0.466787	0.178549	0.109032	-179.995865	0.010406	89.830193
1.30	0.459237	0.167459	0.117041	-179.989517	0.014434	89.700127
1.40	0.450770	0.154854	0.126293	179.989578	0.008398	89.597595
1.50	0.443701	0.143861	0.134240	179.987778	0.009408	89.556137
1.60	0.438837	0.131793	0.142288	179.970032	0.001786	89.521385
1.70	0.437772	0.117968	0.150326	179.949020	-0.002348	89.490265
1.80	0.439405	0.104668	0.157276	179.949417	0.000319	89.434143
1.90	0.441943	0.090053	0.164837	179.940811	-0.000830	89.324242
2.00	0.444806	0.073164	0.173617	179.918625	-0.002790	89.174141
2.10	0.447941	0.054334	0.183349	179.899475	-0.002722	89.067909
2.20	0.451992	0.035256	0.192347	179.887619	-0.000521	89.050247
2.30	0.458299	0.015897	0.199373	179.883575	0.003397	89.044594
2.40	0.466400	-0.003201	0.204326	179.886520	0.008483	88.975052
2.50	0.475463	-0.023598	0.209320	179.875488	0.013626	88.817566
2.60	0.484580	-0.044384	0.214562	179.870850	0.016323	88.712303
2.70	0.493763	-0.064329	0.218829	179.878098	0.021955	88.676086
2.80	0.504570	-0.083715	0.220739	179.888306	0.022724	88.694572
2.90	0.516021	-0.102741	0.221089	179.889984	0.027500	88.591522
3.00	0.527100	-0.120907	0.221331	179.906937	0.028726	88.439926
3.10	0.536451	-0.135888	0.221583	179.885788	0.032285	88.365120
3.20	0.546450	-0.150898	0.219797	179.939621	0.023640	88.371086
3.30	0.558316	-0.165910	0.215996	179.908340	0.033721	88.294014
3.40	0.567462	-0.177659	0.212680	179.929077	0.027337	88.144257
3.50	0.575384	-0.187565	0.210005	179.917435	0.032813	88.038719
3.60	0.583404	-0.196575	0.205095	179.938416	0.028140	88.037239
3.70	0.590758	-0.203160	0.198283	179.959778	0.020889	87.999702
3.80	0.597107	-0.208874	0.192313	179.966782	0.019746	87.851334
3.90	0.600999	-0.212284	0.188691	179.977142	0.016121	87.727783
4.00	0.603540	-0.214543	0.184927	-179.978851	0.002550	87.695099
4.10	0.603880	-0.214692	0.179849	-179.952026	-0.002140	87.666634
4.20	0.603433	-0.213693	0.173792	-179.938644	-0.005244	87.461342
4.30	0.602761	-0.212503	0.167177	-179.909653	-0.014092	87.323875
4.40	0.600398	-0.209509	0.161890	-179.875656	-0.025557	87.334488
4.50	0.596653	-0.205050	0.157798	-179.866486	-0.026141	87.194450
4.60	0.591682	-0.199095	0.152255	-179.855667	-0.029311	87.010185
4.70	0.586086	-0.192336	0.146474	-179.842545	-0.030050	86.970177
4.80	0.580264	-0.184884	0.142084	-179.853348	-0.029173	86.914574
4.90	0.573752	-0.176671	0.137519	-179.842743	-0.031465	86.698792
5.00	0.567537	-0.168790	0.133110	-179.830566	-0.030444	86.603523
5.10	0.561222	-0.160240	0.129106	-179.849640	-0.023245	86.594437
5.20	0.554919	-0.151485	0.125293	-179.858734	-0.016899	86.470573
5.30	0.550652	-0.145434	0.122703	-179.889435	-0.010077	86.286469
5.40	0.546435	-0.139542	0.120233	-179.891205	-0.007417	86.225891
5.50	0.542252	-0.133360	0.117824	-179.889313	-0.007955	86.215721
5.60	0.538140	-0.127070	0.115491	-179.898560	-0.005187	86.123856
5.70	0.533731	-0.120322	0.113031	-179.902344	-0.003704	85.957687
5.80	0.530241	-0.114989	0.111079	-179.917145	0.000267	85.855621
5.90	0.526837	-0.109531	0.109131	-179.913559	0.000166	85.841187
6.00	0.523614	-0.103965	0.107270	-179.923248	0.000987	85.774643
6.10	0.519871	-0.097673	0.105174	-179.910233	0.001210	85.597214
6.20	0.516258	-0.091264	0.103040	-179.920227	0.003095	85.474167
6.30	0.512922	-0.085000	0.101002	-179.924286	0.001877	85.467125
6.40	0.509976	-0.078936	0.099100	-179.927124	0.004793	85.350281
6.50	0.507740	-0.074214	0.097561	-179.939941	0.006784	85.135254
6.60	0.506135	-0.070606	0.096500	-179.945770	0.005935	85.071022
6.70	0.504682	-0.066779	0.095311	-179.957245	0.008160	85.031006
6.80	0.502995	-0.062107	0.093864	-179.946991	0.007638	84.792831
6.90	0.501607	-0.057949	0.092587	-179.954178	0.008073	84.694458
7.00	0.500850	-0.053770	0.091307	-179.964294	0.009346	84.651733
7.10	0.500542	-0.051232	0.090561	-179.980072	0.009664	84.396461
7.20	0.500440	-0.049725	0.090135	-179.988846	0.009507	84.293304
7.30	0.500587	-0.048208	0.089551	-179.975922	0.009214	84.246986
7.40	0.500945	-0.046902	0.089064	-179.978119	0.009057	84.016914
7.50	0.501353	-0.045524	0.088629	-179.982697	0.008681	83.906082
7.60	0.502404	-0.044720	0.088231	-179.991989	0.007709	83.863564
7.70	0.502948	-0.044444	0.088073	-179.985626	0.008740	83.640442
7.80	0.503739	-0.044050	0.087904	-179.995148	0.008962	83.516983
7.90	0.504535	-0.044020	0.087787	-179.987778	0.008184	83.477142
8.00	0.505463	-0.044115	0.087762	-179.991898	0.008118	83.256569
8.10	0.506663	-0.044319	0.087732	179.998413	0.008803	83.143990
8.20	0.507816	-0.044814	0.087729	-179.996826	0.008354	83.101540
8.30	0.508552	-0.045230	0.087762	-179.996643	0.008062	82.899849
8.40	0.509727	-0.045824	0.087825	179.999435	0.009743	82.752960
8.50	0.510747	-0.046533	0.087888	-179.996368	0.008231	82.711746
8.60	0.511590	-0.047152	0.087981	-179.999756	0.007876	82.484756
8.70	0.512461	-0.047862	0.088069	179.998993	0.009447	82.359879
8.80	0.513246	-0.048755	0.088166	-179.997284	0.008691	82.349091
8.90	0.514233	-0.050112	0.088370	179.998962	0.008721	82.201706
9.00	0.515754	-0.052092	0.088612	179.988983	0.008539	82.018257
9.10	0.517232	-0.054187	0.088386	-179.996140	0.010785	81.976517
9.20	0.517446	-0.054560	0.085860	-179.972839	0.012407	81.997765
9.30	0.517250	-0.054526	0.081046	-179.947845	0.011331	81.991646
9.40	0.517018	-0.054494	0.072179	-179.908432	0.011978	81.991066
9.50	0.516857	-0.054450	0.045487	-179.884735	0.014429	81.994934
9.60	0.516936	-0.054446	0.035667	-179.902222	0.013830	81.998962
9.70	0.517132	-0.054454	0.030052	-179.937668	0.013277	81.999664
9.80	0.517236	-0.054458	0.028424	-179.960587	0.012475	82.000229
