Time	x	y	z	rx	ry	rz
0.00	0.417474	0.120107	0.090421	-179.988068	0.013403	89.999283
0.10	0.417480	0.120108	0.090424	-179.988754	0.013209	89.999283
0.20	0.417486	0.120110	0.090427	-179.989502	0.012993	89.999229
0.30	0.417634	0.120160	0.091965	179.982346	0.003200	90.000305
0.40	0.417794	0.120209	0.097638	179.948975	-0.007832	89.997391
0.50	0.417975	0.120247	0.107327	179.915390	-0.014937	89.998192
0.60	0.418142	0.120288	0.120878	179.873520	-0.025541	90.000839
0.70	0.418025	0.120262	0.133134	179.896698	-0.020000	89.999519
0.80	0.417363	0.120046	0.143040	179.899612	-0.018720	90.006729
0.90	0.414104	0.118646	0.152101	179.917084	-0.014183	89.998184
1.00	0.407209	0.115616	0.159932	179.937943	-0.007561	89.934204
1.10	0.399611	0.112307	0.166104	179.953384	-0.003325	89.772911
1.20	0.389955	0.108068	0.174247	179.940277	-0.006104	89.540253
1.30	0.377738	0.102822	0.184418	179.943146	-0.006131	89.428391
1.40	0.366624	0.098543	0.193250	179.936600	-0.008110	89.425468
1.50	0.354346	0.094573	0.202194	179.931412	-0.009757	89.360870
1.60	0.342532	0.090824	0.210613	179.938904	-0.008841	89.114143
1.70	0.332502	0.087705	0.217853	179.928391	-0.011494	88.925949
1.80	0.321817	0.085263	0.223704	179.959030	-0.003468	88.870987
1.90	0.309684	0.084756	0.226728	179.986526	0.002499	88.862228
2.00	0.297477	0.084952	0.228572	179.987213	0.002899	88.660225
2.10	0.286358	0.085115	0.230358	179.987961	0.003164	88.439468
2.20	0.275922	0.086198	0.230918	-179.976135	0.015566	88.386688
2.30	0.266289	0.089685	0.228832	-179.953445	0.023692	88.396088
2.40	0.257169	0.094698	0.224999	-179.935989	0.032475	88.240715
2.50	0.246527	0.100604	0.220493	-179.923859	0.040277	88.027756
2.60	0.234583	0.107792	0.215014	-179.913696	0.049478	87.937065
2.70	0.226211	0.115688	0.208891	-179.903809	0.058923	87.946289
2.80	0.219115	0.125340	0.201272	-179.892181	0.073040	87.813248
2.90	0.211179	0.136280	0.192681	-179.888947	0.085785	87.565384
3.00	0.204076	0.146445	0.184660	-179.878036	0.102488	87.439064
3.10	0.198240	0.158069	0.175839	-179.870285	0.120626	87.432579
3.20	0.194405	0.170206	0.166926	-179.883560	0.120546	87.351692
3.30	0.191289	0.180981	0.159083	-179.907913	0.104794	87.119202
3.40	0.188805	0.189010	0.153112	-179.912125	0.106829	86.896957
3.50	0.186770	0.196972	0.147409	-179.923264	0.099579	86.800476
3.60	0.185417	0.205194	0.141663	-179.926971	0.099386	86.777473
3.70	0.184908	0.213519	0.136090	-179.940872	0.085516	86.724403
3.80	0.184661	0.222135	0.130362	-179.945160	0.082720	86.590912
