Time	x	y	z	rx	ry	rz
0.00	0.300574	0.372252	0.023425	-179.995392	0.017836	79.999352
0.11	0.300574	0.372252	0.023425	-179.995407	0.017813	79.999382
0.20	0.300574	0.372252	0.023425	-179.995377	0.017829	79.999344
0.30	0.300611	0.372295	0.024854	179.997803	0.003655	79.998390
0.40	0.300712	0.372393	0.030451	179.984512	-0.022674	79.996529
0.50	0.300882	0.372550	0.040138	179.962830	-0.060328	79.992302
0.60	0.300897	0.372594	0.050394	179.957794	-0.068825	79.995743
0.70	0.300877	0.372536	0.065127	179.961121	-0.062165	79.993774
0.80	0.300579	0.372044	0.075422	179.958588	-0.064304	79.998917
0.90	0.299524	0.369631	0.083190	179.966568	-0.052176	80.000854
1.00	0.296667	0.362555	0.091405	179.982422	-0.014671	80.007767
1.10	0.293311	0.354349	0.097612	179.995193	0.003560	80.067291
1.20	0.289451	0.344796	0.104886	179.990234	-0.004267	80.185997
1.30	0.284188	0.331927	0.114701	179.995193	0.000147	80.336334
1.40	0.278504	0.317922	0.125483	179.993027	0.000149	80.427902
1.50	0.272825	0.302368	0.137406	179.980072	-0.021824	80.450729
1.60	0.270004	0.285114	0.149691	179.967239	-0.038570	80.426331
1.70	0.270952	0.269406	0.159889	179.953949	-0.053568	80.414116
1.80	0.273496	0.252078	0.170673	179.943436	-0.060594	80.526802
1.90	0.276219	0.233712	0.182181	179.919922	-0.078521	80.691658
2.00	0.279050	0.213883	0.194517	179.908615	-0.082180	80.799370
2.10	0.282082	0.193537	0.206810	179.898590	-0.083855	80.833450
2.20	0.285035	0.177018	0.215615	179.899307	-0.072093	80.808510
2.30	0.290443	0.151143	0.227529	179.906387	-0.054109	80.860252
2.40	0.294980	0.130640	0.236737	179.906372	-0.045149	81.043137
2.50	0.298251	0.115991	0.243354	179.900024	-0.043449	81.214561
2.60	0.302877	0.095108	0.252465	179.907822	-0.031051	81.332062
2.70	0.306606	0.077610	0.258031	179.932373	-0.015434	81.307671
2.80	0.310600	0.059461	0.261758	179.943634	-0.009113	81.411606
2.90	0.314606	0.041298	0.265225	179.959991	-0.002584	81.675385
3.00	0.317059	0.030268	0.267446	179.953369	-0.000329	81.866028
3.10	0.319528	0.018940	0.269058	179.976044	0.007276	81.932701
3.20	0.322147	0.006992	0.267844	-179.977692	0.014152	81.962708
3.30	0.324647	-0.003439	0.265491	-179.973373	0.015742	82.132347
3.40	0.326750	-0.012059	0.263613	-179.978180	0.014783	82.394447
3.50	0.328460	-0.018966	0.261830	-179.966415	0.015276	82.537659
3.60	0.330379	-0.023609	0.258072	-179.939667	0.015452	82.581078
3.70	0.332739	-0.026961	0.252498	-179.935730	0.013220	82.777443
3.80	0.337095	-0.031611	0.242078	-179.931503	0.013657	83.147881
3.90	0.339287	-0.030114	0.236718	-179.919327	0.013498	83.262962
4.00	0.341689	-0.027507	0.230933	-179.912125	0.014960	83.545731
4.10	0.344381	-0.024481	0.224528	-179.905914	0.014464	83.720413
4.20	0.347147	-0.019926	0.218977	-179.919693	0.014412	83.774742
4.30	0.349288	-0.015350	0.215097	-179.923294	0.015268	83.925034
4.40	0.352733	-0.007887	0.208687	-179.917435	0.017414	84.255821
4.50	0.355926	-0.000730	0.203308	-179.921967	0.018057	84.308640
4.60	0.359114	0.007066	0.199060	-179.928604	0.018027	84.411049
4.70	0.362168	0.014511	0.195232	-179.937729	0.017908	84.699898
4.80	0.365217	0.022037	0.191466	-179.940826	0.017768	84.844376
4.90	0.368595	0.030308	0.188282	-179.954117	0.015921	84.868835
5.00	0.371869	0.038411	0.185687	-179.960220	0.016268	85.091591
5.10	0.374661	0.045228	0.183558	-179.973846	0.014327	85.331161
5.20	0.377935	0.053203	0.181388	-179.977203	0.015650	85.364182
5.30	0.381353	0.061160	0.180055	179.999893	0.009464	85.479187
5.40	0.383806	0.067134	0.179095	-179.990219	0.011489	85.748886
5.50	0.386721	0.073992	0.178109	-179.998917	0.008698	85.874802
5.60	0.389091	0.079337	0.177817	179.994614	0.008235	85.888123
5.70	0.392234	0.086458	0.177798	179.997803	0.008419	86.124077
5.80	0.394534	0.091542	0.177788	179.990753	0.007433	86.359970
5.90	0.396648	0.096067	0.177983	179.982407	0.003867	86.379959
6.00	0.399801	0.102516	0.178923	179.979111	0.000694	86.507500
6.10	0.401297	0.105747	0.179416	179.992599	0.005709	86.780479
6.20	0.403443	0.109968	0.180151	179.981384	0.001204	86.890892
6.30	0.405837	0.114355	0.181490	179.975159	-0.001934	86.950027
6.40	0.407094	0.116698	0.182297	179.990021	0.003979	87.163628
6.50	0.408512	0.119178	0.183143	179.983170	0.001389	87.394051
6.60	0.410332	0.122134	0.184535	179.979034	-0.000073	87.404915
6.70	0.411576	0.124028	0.185709	179.987366	0.002648	87.546234
6.80	0.412455	0.125318	0.186521	179.993042	0.004863	87.832809
6.90	0.413711	0.127031	0.187703	179.984528	0.002613	87.916466
7.00	0.414816	0.128204	0.189057	179.985855	0.002045	87.967018
7.10	0.415414	0.128853	0.189889	179.992264	0.004767	88.236641
7.20	0.415997	0.129421	0.190564	179.988022	0.003166	88.401726
7.30	0.416902	0.130110	0.191877	179.985016	0.003505	88.446968
7.40	0.417332	0.130262	0.192713	-179.997452	0.008342	88.626427
7.50	0.417622	0.130358	0.193232	-179.993210	0.009629	88.848465
7.60	0.418185	0.130503	0.194244	179.998978	0.007317	88.965141
7.70	0.418484	0.130149	0.195048	-179.991623	0.012345	89.029114
7.80	0.418641	0.129983	0.195432	-179.989426	0.012581	89.245239
7.90	0.418893	0.129667	0.196150	-179.991714	0.011140	89.475014
8.00	0.419007	0.129086	0.196552	179.999115	0.008493	89.486206
