Time	x	y	z	rx	ry	rz
0.00	0.490351	0.146740	0.233562	179.031113	0.008673	94.900749
0.11	0.490367	0.146744	0.233588	179.026413	0.007912	94.902504
0.20	0.490371	0.146744	0.233593	179.025299	0.007837	94.902992
0.30	0.490285	0.146609	0.233569	179.046082	0.034474	94.890045
0.40	0.489528	0.145818	0.233120	179.219788	0.179019	94.801132
0.50	0.489222	0.145365	0.232975	179.293274	0.263553	94.760986
0.60	0.489306	0.144669	0.233073	179.307037	0.267472	94.748230
0.70	0.489793	0.140811	0.234481	179.304794	0.266301	94.736168
0.80	0.490817	0.133722	0.237211	179.289627	0.256168	94.711647
0.90	0.492248	0.123370	0.241110	179.284164	0.253055	94.695374
1.00	0.494061	0.109830	0.246167	179.281860	0.248260	94.676941
1.10	0.496334	0.093080	0.252464	179.264679	0.246246	94.640144
1.20	0.498918	0.074881	0.259019	179.264343	0.250453	94.659729
1.30	0.502964	0.056561	0.264004	179.248306	0.250307	94.636604
1.40	0.508980	0.037414	0.266865	179.262146	0.248416	94.642609
1.50	0.515124	0.019413	0.269098	179.262405	0.247466	94.638153
1.60	0.522206	-0.001604	0.271677	179.276657	0.245461	94.639793
1.70	0.530334	-0.025559	0.274595	179.270676	0.246218	94.648544
1.80	0.537706	-0.046721	0.275727	179.289337	0.247952	94.631210
1.90	0.546194	-0.068927	0.274736	179.292892	0.252294	94.675667
2.00	0.555637	-0.093095	0.272672	179.283676	0.256327	94.672028
2.10	0.571962	-0.134793	0.268653	179.303802	0.254769	94.720406
2.20	0.580498	-0.155016	0.263817	179.314743	0.253917	94.729073
2.30	0.589376	-0.174555	0.257109	179.312408	0.255394	94.751129
2.40	0.597159	-0.191841	0.251137	179.327774	0.250754	94.787018
2.50	0.603959	-0.206606	0.245963	179.325211	0.253007	94.813232
2.60	0.610435	-0.220556	0.238818	179.357346	0.241103	94.816322
2.70	0.617116	-0.233270	0.229581	179.357635	0.243173	94.837280
2.80	0.623127	-0.244747	0.220938	179.365784	0.239992	94.863770
2.90	0.628156	-0.254227	0.214060	179.350266	0.249282	94.890312
3.00	0.632310	-0.262039	0.205373	179.413055	0.217484	94.896889
3.10	0.635913	-0.267802	0.194838	179.437820	0.206151	94.910950
3.20	0.639240	-0.272812	0.185057	179.446060	0.204664	94.942276
3.30	0.641430	-0.276313	0.177738	179.477783	0.191483	94.948174
3.40	0.642079	-0.277463	0.169376	179.592163	0.132704	94.967354
3.50	0.641979	-0.276474	0.159951	179.621048	0.121464	94.980644
3.60	0.641924	-0.275381	0.151242	179.642334	0.110743	95.001549
3.70	0.640495	-0.273176	0.143191	179.706390	0.079649	95.017853
3.80	0.637042	-0.268779	0.136691	179.730850	0.072534	95.022583
3.90	0.632643	-0.263423	0.129839	179.751083	0.064676	95.047615
4.00	0.627376	-0.256865	0.121798	179.787064	0.049270	95.074593
4.10	0.621457	-0.249582	0.115571	179.767410	0.061277	95.069908
4.20	0.614592	-0.241157	0.110120	179.808807	0.044092	95.092247
4.30	0.606654	-0.231373	0.104052	179.818497	0.039788	95.119896
4.40	0.590123	-0.210262	0.094891	179.809326	0.054282	95.151611
4.50	0.581773	-0.199535	0.090974	179.806320	0.064574	95.167786
4.60	0.573502	-0.188510	0.087676	179.817505	0.060607	95.172615
4.70	0.565169	-0.177030	0.085333	179.806778	0.069107	95.194244
4.80	0.558268	-0.167533	0.083355	179.812714	0.070443	95.214447
4.90	0.551275	-0.157198	0.082072	179.794434	0.077523	95.214653
5.00	0.544810	-0.147576	0.081075	179.799377	0.081077	95.235954
5.10	0.539762	-0.139849	0.080509	179.802505	0.077913	95.243988
5.20	0.534842	-0.131604	0.080519	179.792282	0.084865	95.256218
5.30	0.530472	-0.124253	0.080522	179.803894	0.080738	95.269928
5.40	0.527075	-0.117788	0.080995	179.794067	0.082641	95.275421
5.50	0.524136	-0.111801	0.081673	179.808487	0.079465	95.292274
5.60	0.522052	-0.107137	0.082456	179.806885	0.080018	95.288185
5.70	0.520641	-0.102614	0.083654	179.817459	0.075590	95.313431
5.80	0.519894	-0.099494	0.084677	179.813324	0.076193	95.321075
5.90	0.519965	-0.096796	0.086164	179.834366	0.066757	95.340439
6.00	0.520653	-0.095349	0.087384	179.835724	0.065948	95.344368
6.10	0.522215	-0.094676	0.089072	179.848740	0.061184	95.371918
6.20	0.524255	-0.095056	0.090302	179.865143	0.055309	95.393883
6.30	0.526430	-0.096075	0.091341	179.889648	0.046290	95.414017
6.40	0.528781	-0.097677	0.092223	179.914978	0.037418	95.427773
6.50	0.530887	-0.099399	0.092798	179.950699	0.026466	95.457932
6.60	0.532813	-0.101571	0.092795	179.963974	0.022362	95.455917
6.70	0.535271	-0.104553	0.092598	179.969513	0.020428	95.476471
6.80	0.537000	-0.106819	0.091912	-179.992767	0.007367	95.495796
6.90	0.537331	-0.107268	0.088919	-179.974625	0.004614	95.502899
7.00	0.537148	-0.107232	0.084175	-179.955948	-0.001326	95.495338
7.10	0.536882	-0.107159	0.075232	-179.913925	-0.015083	95.494171
7.20	0.536695	-0.107079	0.062289	-179.882568	-0.027647	95.493767
7.30	0.536723	-0.107091	0.048594	-179.891968	-0.023530	95.493729
7.40	0.536816	-0.107103	0.038933	-179.912262	-0.017031	95.493401
7.50	0.536981	-0.107133	0.033402	-179.941864	-0.007082	95.494736
7.60	0.537078	-0.107150	0.031910	-179.962936	-0.000864	95.495422
