Time	x	y	z	rx	ry	rz
0.00	0.537196	-0.107157	0.032354	-179.983521	0.004797	95.496826
0.11	0.537201	-0.107158	0.032360	-179.984253	0.005062	95.496864
0.20	0.537203	-0.107159	0.032363	-179.984695	0.005195	95.496864
0.30	0.537238	-0.107159	0.033461	-179.994171	0.006926	95.497368
0.40	0.537415	-0.107184	0.038601	179.972198	0.015643	95.498260
0.50	0.537551	-0.107206	0.045559	179.945190	0.024011	95.499535
0.60	0.537704	-0.107234	0.060883	179.916336	0.035212	95.502739
0.70	0.537671	-0.107217	0.073788	179.920242	0.034893	95.504768
0.80	0.537122	-0.107411	0.085072	179.922775	0.034100	95.499741
0.90	0.533725	-0.109066	0.095660	179.937256	0.031312	95.484749
1.00	0.527559	-0.111935	0.103972	179.962128	0.024601	95.437218
1.10	0.519836	-0.115600	0.112246	179.968552	0.022580	95.309952
1.20	0.510043	-0.120270	0.123017	179.968338	0.023651	95.180283
1.30	0.500704	-0.124756	0.134017	179.959717	0.025877	95.158936
1.40	0.492502	-0.128944	0.146664	179.935043	0.032248	95.148033
1.50	0.478883	-0.135964	0.170490	179.940491	0.033758	94.908691
1.60	0.472874	-0.138480	0.180087	179.948029	0.030306	94.877663
1.70	0.466289	-0.139121	0.187594	179.958603	0.026462	94.877647
1.80	0.456873	-0.138901	0.196602	179.964142	0.024504	94.763069
1.90	0.450309	-0.138748	0.202806	179.975266	0.019891	94.634277
2.00	0.445115	-0.137953	0.206796	179.992523	0.013806	94.615891
2.10	0.436323	-0.134038	0.209707	-179.966324	-0.000201	94.587936
2.20	0.428474	-0.129439	0.211054	-179.964706	-0.000348	94.451065
2.30	0.420433	-0.124625	0.212326	-179.959839	-0.004324	94.359337
2.40	0.413573	-0.118771	0.211257	-179.935593	-0.014263	94.368546
2.50	0.407829	-0.111868	0.207962	-179.918808	-0.018205	94.311760
2.60	0.400607	-0.103125	0.203722	-179.887253	-0.030726	94.190773
2.70	0.391994	-0.092347	0.198452	-179.885910	-0.028044	94.129631
2.80	0.385381	-0.081998	0.192632	-179.868652	-0.026964	94.141678
2.90	0.379734	-0.070765	0.185706	-179.860092	-0.027055	94.066162
3.00	0.373717	-0.058586	0.178201	-179.859543	-0.023094	93.926918
3.10	0.368639	-0.047936	0.171613	-179.843552	-0.020740	93.885231
3.20	0.364729	-0.036569	0.164527	-179.874924	-0.008645	93.884361
3.30	0.361444	-0.025153	0.157205	-179.866257	-0.008219	93.819305
3.40	0.359034	-0.016017	0.151366	-179.894257	-0.001578	93.675064
3.50	0.357014	-0.008545	0.146612	-179.902618	0.000315	93.587364
3.60	0.355622	-0.002590	0.142825	-179.904312	0.003551	93.573616
3.70	0.354214	0.006766	0.136990	-179.909592	0.005862	93.564194
3.80	0.353366	0.014631	0.132120	-179.901688	0.007967	93.500664
3.90	0.352631	0.021852	0.127652	-179.903259	0.008353	93.416832
4.00	0.351850	0.030622	0.122241	-179.923798	0.011295	93.291641
4.10	0.351431	0.037399	0.118141	-179.928757	0.012829	93.265999
4.20	0.351616	0.044378	0.114207	-179.941376	0.014058	93.265327
4.30	0.352094	0.051716	0.110172	-179.931000	0.015935	93.175896
4.40	0.352738	0.059266	0.106101	-179.933121	0.016973	93.057953
4.50	0.353443	0.068194	0.101253	-179.922958	0.020162	93.002518
4.60	0.355312	0.077661	0.096512	-179.947098	0.016988	92.985306
4.70	0.357785	0.086193	0.092546	-179.952164	0.015797	92.882149
4.80	0.359886	0.093281	0.089258	-179.958511	0.016759	92.707054
4.90	0.362330	0.099917	0.086341	-179.979340	0.012399	92.670418
5.00	0.365512	0.105819	0.084078	-179.993500	0.010869	92.631104
5.10	0.368403	0.111032	0.082151	-179.991196	0.010439	92.480667
5.20	0.370102	0.114002	0.081037	-179.998367	0.009073	92.372841
5.30	0.373001	0.118200	0.079690	179.995377	0.007326	92.337837
5.40	0.378973	0.124436	0.078159	179.983429	0.004931	92.109406
5.50	0.383755	0.128890	0.077266	179.978012	0.003881	92.048424
5.60	0.388378	0.131516	0.077328	179.974625	0.002425	91.961792
5.70	0.390760	0.132825	0.077414	179.982285	0.005535	91.803024
5.80	0.393829	0.134233	0.077670	179.978760	0.002041	91.734726
5.90	0.396574	0.134864	0.078280	179.978027	0.001405	91.629845
6.00	0.400311	0.135526	0.079128	179.963135	-0.001887	91.457741
6.10	0.404465	0.135544	0.080518	179.969864	-0.000685	91.411522
6.20	0.406940	0.135126	0.081583	179.985565	0.004516	91.266670
6.30	0.408839	0.134782	0.082430	179.979446	0.002564	91.133415
6.40	0.410596	0.134089	0.083396	179.984268	0.003885	91.094261
6.50	0.412908	0.132956	0.084769	179.985977	0.004120	90.861153
6.60	0.414648	0.131950	0.085849	179.988693	0.005213	90.834282
6.70	0.416181	0.130555	0.087123	179.996689	0.007864	90.754814
6.80	0.417110	0.129744	0.087894	179.996277	0.006990	90.566978
6.90	0.418146	0.128539	0.088881	179.997559	0.007566	90.543091
7.00	0.418713	0.127624	0.089528	-179.996231	0.009472	90.437714
7.10	0.419476	0.126352	0.090498	179.996674	0.007506	90.259003
7.20	0.419300	0.124942	0.091059	-179.996902	0.010407	90.248650
7.30	0.418733	0.123522	0.091431	-179.989029	0.013405	90.127075
7.40	0.417741	0.120818	0.092125	-179.985626	0.014664	89.973129
7.50	0.417391	0.119994	0.090668	-179.980270	0.015899	89.998871
7.60	0.417314	0.119981	0.086946	-179.956970	0.022773	89.993645
7.70	0.417072	0.119928	0.078929	-179.909286	0.036623	89.990540
7.80	0.416925	0.119902	0.067778	-179.876007	0.046717	89.993385
7.90	0.416819	0.119894	0.053438	-179.860489	0.051178	89.996788
8.00	0.416978	0.119969	0.041689	-179.893066	0.039675	89.995468
8.10	0.417082	0.120008	0.035048	-179.914337	0.034280	90.000633
8.20	0.417265	0.120061	0.032098	-179.949692	0.024844	90.002731
8.30	0.417353	0.120088	0.032043	-179.966095	0.019812	90.001526
