Time	x	y	z	rx	ry	rz
0.00	0.350519	-0.026437	0.028932	-179.989151	0.005337	111.499886
0.10	0.350525	-0.026438	0.028937	-179.990112	0.005785	111.499832
0.20	0.350530	-0.026438	0.028940	-179.990723	0.006069	111.499878
0.30	0.350649	-0.026442	0.030699	179.983093	0.017547	111.502182
0.40	0.350933	-0.026448	0.036583	179.933807	0.038237	111.487976
0.50	0.351089	-0.026493	0.044245	179.905441	0.059884	111.509682
0.60	0.351290	-0.026509	0.060214	179.866257	0.080669	111.508484
0.70	0.351119	-0.026453	0.072905	179.888962	0.061736	111.492622
0.80	0.351075	-0.026522	0.082780	179.885193	0.070326	111.510506
0.90	0.349503	-0.027758	0.092576	179.889297	0.064003	111.475151
1.00	0.346397	-0.030267	0.100964	179.891754	0.062090	111.337982
1.10	0.342878	-0.032996	0.108889	179.908691	0.056403	111.001846
1.20	0.340095	-0.035109	0.115117	179.931839	0.045036	110.488403
1.30	0.338181	-0.036624	0.119681	179.940277	0.039128	110.191193
1.40	0.336498	-0.038215	0.124650	179.949310	0.035165	110.119385
1.50	0.335556	-0.039879	0.130150	179.941391	0.040044	110.064827
1.60	0.335082	-0.041370	0.135256	179.934540	0.043944	109.792435
1.70	0.334566	-0.042957	0.140784	179.934402	0.040412	109.305801
1.80	0.334197	-0.044219	0.145152	179.926346	0.045667	108.980179
1.90	0.333584	-0.046439	0.153124	179.913132	0.053335	108.774162
2.00	0.333988	-0.047051	0.160456	179.910355	0.054483	108.786804
2.10	0.334537	-0.047005	0.165522	179.932037	0.044594	108.615944
2.20	0.334679	-0.046859	0.168426	179.980408	0.020638	108.107185
2.30	0.335066	-0.046840	0.170069	179.951324	0.034146	107.675011
2.40	0.335301	-0.046660	0.172096	179.965286	0.026943	107.490707
2.50	0.336021	-0.045586	0.174791	179.971436	0.023615	107.458412
2.60	0.336829	-0.043920	0.176581	179.984116	0.017007	107.322487
2.70	0.337772	-0.042062	0.178176	179.982117	0.016963	106.926956
2.80	0.338726	-0.040142	0.179859	179.979538	0.017327	106.419960
2.90	0.340827	-0.035142	0.183022	179.999115	0.009129	106.147102
3.00	0.341719	-0.031680	0.183173	-179.999084	0.008511	106.042648
3.10	0.342580	-0.028191	0.182794	-179.997650	0.007508	105.726952
3.20	0.343475	-0.024347	0.182348	-179.986282	0.003635	105.234322
3.30	0.344681	-0.019675	0.181926	-179.990814	0.005814	104.926102
3.40	0.346044	-0.014047	0.181195	-179.981857	0.002813	104.830292
3.50	0.347414	-0.008558	0.179922	-179.978180	0.001569	104.790741
3.60	0.348439	-0.004456	0.178771	-179.974518	0.001015	104.583199
3.70	0.349849	0.001069	0.177184	-179.973923	0.002095	104.026169
3.80	0.351150	0.006180	0.175776	-179.970840	0.002861	103.644661
3.90	0.352371	0.010870	0.174442	-179.973114	0.002354	103.510056
4.00	0.354333	0.017878	0.172266	-179.966125	0.001040	103.478859
4.10	0.356076	0.023552	0.170362	-179.969009	0.003574	103.268600
4.20	0.357560	0.028278	0.168764	-179.974457	0.005611	102.817543
4.30	0.359089	0.033325	0.167078	-179.971664	0.005279	102.357719
4.40	0.360815	0.038822	0.165238	-179.972015	0.004574	102.169815
4.50	0.362775	0.044522	0.163300	-179.974838	0.006347	102.144150
4.60	0.365002	0.050537	0.161266	-179.974991	0.006587	101.980614
4.70	0.366591	0.054746	0.159845	-179.977661	0.006714	101.605354
4.80	0.368089	0.058677	0.158487	-179.975845	0.006459	101.108627
4.90	0.370005	0.063737	0.156773	-179.977188	0.007522	100.831032
5.00	0.371955	0.068461	0.155253	-179.982727	0.009377	100.790543
5.10	0.374153	0.073499	0.153787	-179.983109	0.007086	100.701340
5.20	0.375746	0.076980	0.152773	-179.981781	0.007576	100.457611
5.30	0.377536	0.080779	0.151710	-179.987335	0.008385	99.858093
5.40	0.379175	0.084394	0.150686	-179.987305	0.008821	99.533043
5.50	0.381271	0.088766	0.149497	-179.996826	0.007468	99.429413
5.60	0.383516	0.093011	0.148488	-179.997147	0.006846	99.387497
5.70	0.385535	0.096643	0.147682	-179.992325	0.009362	99.119942
5.80	0.386576	0.098518	0.147284	-179.993500	0.009288	98.749390
5.90	0.388211	0.101466	0.146639	-179.992798	0.009011	98.240700
6.00	0.390046	0.104677	0.145994	179.996811	0.007111	98.082954
6.10	0.394064	0.110700	0.145004	179.999634	0.009634	97.841454
6.20	0.395147	0.112272	0.144801	179.999237	0.009108	97.424194
6.30	0.396304	0.113962	0.144570	-179.999634	0.008648	96.972183
6.40	0.397914	0.116207	0.144258	179.996857	0.008675	96.738167
6.50	0.399558	0.118298	0.144046	179.998276	0.010301	96.719757
6.60	0.402369	0.121417	0.143931	-179.999817	0.009620	96.204483
6.70	0.403278	0.122392	0.143926	-179.998505	0.009786	95.713913
6.80	0.404335	0.123522	0.143890	179.999268	0.009321	95.423210
6.90	0.405451	0.124688	0.143906	179.997009	0.007706	95.371536
7.00	0.407324	0.126133	0.144075	179.991348	0.006923	95.292496
7.10	0.408089	0.126672	0.144192	-179.994415	0.011346	94.970001
7.20	0.408644	0.127141	0.144268	-179.994156	0.010357	94.575630
7.30	0.409552	0.127789	0.144401	-179.998398	0.009881	94.134048
7.40	0.410585	0.128441	0.144582	-179.999512	0.009772	94.013275
7.50	0.411704	0.128931	0.144852	179.998383	0.009122	93.982941
7.60	0.412424	0.129163	0.145081	-179.991669	0.010940	93.702560
7.70	0.412962	0.129326	0.145276	179.996399	0.008682	93.257996
7.80	0.413457	0.129483	0.145437	-179.997223	0.010166	92.841743
7.90	0.414215	0.129727	0.145669	179.999100	0.008833	92.676598
8.00	0.414876	0.129857	0.145963	179.997772	0.008544	92.673897
8.10	0.415429	0.129711	0.146230	-179.994278	0.010914	92.486946
8.20	0.415798	0.129575	0.146461	-179.997375	0.010209	92.023163
8.30	0.416141	0.129515	0.146618	-179.999298	0.009410	91.583267
8.40	0.416559	0.129362	0.146838	-179.988220	0.012725	91.351883
8.50	0.416834	0.129168	0.147031	-179.993011	0.011684	91.321579
8.60	0.416956	0.128601	0.147226	-179.983490	0.014179	91.200432
8.70	0.417128	0.127394	0.147739	-179.997284	0.010120	90.823502
8.80	0.417270	0.125400	0.148487	179.995880	0.009095	90.412354
8.90	0.417448	0.122390	0.149574	179.998108	0.010319	90.015182
9.00	0.417397	0.120376	0.149644	-179.975906	0.018395	89.976326
9.10	0.417393	0.119985	0.148078	-179.971558	0.018583	89.989304
9.20	0.417308	0.119960	0.143586	-179.950455	0.026113	89.990753
9.30	0.417054	0.119900	0.135804	-179.898621	0.040683	89.991684
9.40	0.416841	0.119864	0.123969	-179.858826	0.052746	89.993805
9.50	0.416808	0.119909	0.109177	-179.854019	0.049180	89.991371
9.60	0.416920	0.119943	0.099049	-179.881882	0.042765	89.996742
9.70	0.417132	0.120000	0.092504	-179.923370	0.033026	89.999451
9.80	0.417311	0.120056	0.089997	-179.956848	0.022917	89.999359
