Time	x	y	z	rx	ry	rz
0.00	0.417488	0.120106	0.137415	-179.987930	0.014658	89.999847
0.10	0.417499	0.120111	0.137526	-179.991409	0.013422	89.999886
0.20	0.417856	0.120226	0.147166	179.935852	-0.009936	89.998863
0.30	0.418090	0.120291	0.158166	179.887466	-0.022807	90.000336
0.40	0.418278	0.120363	0.174015	179.847229	-0.036409	90.003380
0.50	0.418449	0.120419	0.192079	179.809494	-0.046338	90.002541
0.60	0.418423	0.120405	0.209375	179.809753	-0.042815	90.004890
0.70	0.418094	0.120310	0.220103	179.870926	-0.024335	90.003990
0.80	0.417956	0.120259	0.231670	179.910034	-0.015311	90.002876
0.90	0.417769	0.120210	0.236693	179.953537	-0.003231	90.002922
1.00	0.417610	0.120163	0.237850	179.986252	0.006398	90.002815
