                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63672,                 1.3721,                0.88398,                0.62998,                0.72917,                0.78772,                0.68745,                0.53822,                 1.6189,                0.87424,               0.006634,               0.006634,               0.006634
                     36,                 0.6427,                 1.2922,                0.87403,                0.77059,                0.65181,                0.77375,                0.64474,                0.60185,                 1.7247,                0.89546,               0.006535,               0.006535,               0.006535
                     37,                0.60146,                 1.2431,                0.86712,                0.78349,                0.68082,                0.81994,                0.72903,                0.54122,                 1.6817,                0.86615,               0.006436,               0.006436,               0.006436
                     38,                0.61223,                 1.1898,                0.86808,                 0.7571,                0.68445,                 0.7806,                0.66553,                 0.5922,                 1.4491,                  0.871,               0.006337,               0.006337,               0.006337
                     39,                0.59068,                 1.1953,                0.86817,                0.58999,                0.69827,                0.75168,                0.66827,                0.50502,                 1.4938,                0.86577,               0.006238,               0.006238,               0.006238
                     40,                 0.6699,                  1.234,                0.87468,                0.54668,                0.70465,                0.75856,                0.67523,                0.54935,                 1.5654,                0.89525,               0.006139,               0.006139,               0.006139
                     41,                0.59459,                 1.1606,                0.86277,                0.56697,                0.71439,                0.78133,                0.69142,                0.52895,                 1.4393,                0.86212,                0.00604,                0.00604,                0.00604
                     42,                0.55522,                 1.1985,                0.85277,                0.84885,                0.73227,                0.84585,                0.73337,                0.53872,                 1.2057,                 0.8745,               0.005941,               0.005941,               0.005941
                     43,                 0.5635,                 1.1169,                0.84619,                0.67337,                0.78414,                0.85806,                0.76557,                0.48343,                 1.1856,                0.84328,               0.005842,               0.005842,               0.005842
                     44,                0.58726,                 1.0482,                0.85679,                0.87435,                0.77032,                0.87033,                0.73654,                0.57598,                 1.0048,                0.86907,               0.005743,               0.005743,               0.005743
                     45,                 0.5699,                 1.1735,                0.85262,                0.61306,                 0.8054,                0.84685,                0.76874,                0.43663,                 1.1562,                0.82495,               0.005644,               0.005644,               0.005644
                     46,                0.56969,                 1.0713,                0.85502,                0.90052,                0.77188,                 0.8919,                0.78497,                0.48602,                0.97794,                0.85117,               0.005545,               0.005545,               0.005545
                     47,                0.52758,                0.95008,                0.84966,                0.66454,                0.91667,                0.87378,                0.78332,                0.46695,                 1.0186,                0.83361,               0.005446,               0.005446,               0.005446
                     48,                0.55168,                0.97575,                 0.8736,                0.80474,                 0.8156,                0.89312,                0.79507,                 0.5128,                0.90744,                0.85983,               0.005347,               0.005347,               0.005347
                     49,                0.52098,                 1.0167,                0.85222,                0.72999,                  0.875,                0.91331,                0.83182,                0.45429,                0.89249,                0.84056,               0.005248,               0.005248,               0.005248
                     50,                0.56066,                 1.0472,                0.86962,                0.83072,                0.81433,                0.90105,                 0.8077,                0.49089,                 0.9501,                 0.8518,               0.005149,               0.005149,               0.005149
                     51,                0.49478,                 1.0211,                0.85042,                0.90602,                0.83954,                0.92442,                 0.8284,                0.49071,                0.80856,                0.85032,                0.00505,                0.00505,                0.00505
                     52,                0.47995,                0.96729,                0.84769,                0.72205,                0.91667,                  0.905,                0.81141,                0.51297,                0.90072,                0.84302,               0.004951,               0.004951,               0.004951
                     53,                0.50763,                0.96096,                0.83307,                0.78702,                 0.9014,                0.93136,                0.82782,                0.48011,                0.79551,                0.84404,               0.004852,               0.004852,               0.004852
